CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-4874369824113940000,971965,3547,109,0,8,0,176,0,188,0,0,1,16,7,0,0,53,0,0,0,0,0,0,0,0,0,0,0,481,STNL to BP,2130,0.9361702127659575,0.045454545454545456,126
-4864228209551450000,1190459,3796,9,0,1,0,491,0,89,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,590,STNL to BP,2139,5.51685393258427,0.002036659877800407,386
-4743000262233360000,137435,578,8,1,1,0,12,0,45,0,0,0,2,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,68,STNL to BP,2194,0.26666666666666666,0.08333333333333333,814
-4678473777411840000,539717,2095,101,2,5,1,50,0,108,0,0,0,0,2,0,0,91,0,0,0,0,2,0,1,0,0,0,0,267,STNL to BP,2221,0.46296296296296297,0.1,182
-4637118269007830000,103112,412,13,0,0,0,0,0,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,STNL to BP,2240,0.0,,371
-4504182427560520000,145629,643,2,0,0,0,3,0,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,2292,0.04477611940298507,0.0,669
-4382757543751380000,371801,1350,13,0,3,0,35,0,132,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,STNL to BP,2348,0.26515151515151514,0.08571428571428572,245
-4324511909127630000,507304,1890,5,0,4,0,81,0,161,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,251,STNL to BP,2376,0.5031055900621118,0.04938271604938271,885
-4286356081008800000,509380,2067,31,0,4,0,107,0,109,0,0,0,0,0,0,0,24,0,0,0,0,1,0,1,4,0,0,1,252,STNL to BP,2402,0.981651376146789,0.037383177570093455,446
-4254066073819660000,983907,3907,55,0,17,0,239,0,173,0,0,1,0,4,2,0,35,0,0,0,0,1,0,0,8,1,0,0,487,STNL to BP,2413,1.3815028901734103,0.07112970711297072,195
