CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7757353622779076512,1067508,4374,159,0,14,1,133,1,213,1,0,0,0,0,0,6,4,154,0,0,1,0,0,0,0,0,0,0,0,528,123,0.6244131455399061,0.10526315789473684,356
-7697248160474439130,893339,3534,15,0,20,0,28,0,374,1,0,0,0,2,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,442,125,0.0748663101604278,0.7142857142857143,722
-7649138618435564876,626562,2194,34,0,6,0,35,0,230,1,0,0,0,1,0,4,0,28,0,0,1,0,0,0,0,0,0,0,0,310,127,0.15217391304347827,0.17142857142857143,163
-7642491721771928888,1054983,3717,7,6,13,0,215,0,276,1,0,1,0,2,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,522,128,0.7789855072463768,0.06046511627906977,466
-7616567698188611926,2018916,7151,6,0,7,0,139,1,841,1,0,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,999,130,0.16527942925089179,0.050359712230215826,447
-7613026216669080668,91036,280,12,0,0,0,0,0,29,1,0,2,0,1,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,45,131,0.0,,492
-7590343227077515822,1267163,4923,109,0,8,0,53,0,453,1,0,0,0,1,1,3,0,105,0,0,1,0,0,0,0,0,0,0,0,627,133,0.11699779249448124,0.1509433962264151,1064
-7589335438550996032,2187629,9362,466,0,17,0,126,0,467,1,0,2,0,60,26,4,0,317,0,0,1,0,0,0,0,0,0,0,0,1082,134,0.2698072805139186,0.1349206349206349,37
-7563326220381212576,1982667,7030,16,0,4,0,182,0,776,1,0,0,0,5,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,981,137,0.2345360824742268,0.02197802197802198,110
-7556087714316500882,2756947,11128,370,0,14,2,252,1,721,1,0,2,0,20,5,3,0,315,0,0,1,0,0,0,0,0,0,0,0,1364,138,0.34951456310679613,0.05555555555555555,35
