CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-2211711296221096794,189,0,38,0,141,0,324,1,0,0,0,20,1,5,1,136,0,0,0,0,0,0,0,4,0,0,698,178,0.4351851851851852,0.2695035460992908,15
-2165164350228152275,5,0,9,0,38,0,296,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,352,179,0.12837837837837837,0.23684210526315788,-90
-2113276512439213972,27,0,48,0,250,0,326,1,0,0,0,2,0,4,2,21,0,0,0,0,0,0,0,0,0,0,656,180,0.7668711656441718,0.192,-1
-1998508438812506231,139,0,25,0,318,0,696,13,0,7,0,8,1,5,8,87,0,0,0,0,4,0,2,0,0,0,1196,183,0.45689655172413796,0.07861635220125786,52
-1981605965881483916,6,0,4,0,115,0,345,1,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,475,184,0.3333333333333333,0.034782608695652174,-181
-1828203011036128607,8,0,18,2,110,1,269,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,412,187,0.40892193308550184,0.16363636363636364,28
-1815684644179172831,10,0,6,0,45,0,201,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,266,188,0.22388059701492538,0.13333333333333333,443
-1701381161926765085,13,0,14,4,128,4,272,1,0,1,0,3,0,4,0,3,0,0,0,0,2,0,0,0,0,0,440,192,0.47058823529411764,0.109375,69
-1426793066813373419,8,1,31,0,125,0,331,1,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,500,199,0.3776435045317221,0.248,403
-1414233270093453327,26,0,16,0,32,1,352,1,0,0,0,1,2,3,0,0,0,0,0,0,1,0,6,0,0,0,431,200,0.09090909090909091,0.5,-17
-1220869225413988791,20,0,8,0,77,0,863,1,0,0,0,3,0,3,0,0,0,0,0,0,5,0,1,0,0,0,972,202,0.08922363847045191,0.1038961038961039,-88
-1131670398252707324,5,1,10,0,271,0,257,1,0,0,0,0,0,4,2,0,0,0,0,1,0,0,1,0,0,0,549,205,1.0544747081712063,0.03690036900369004,110
-916608070633910467,88,0,14,0,153,0,108,1,0,3,0,20,26,4,0,10,0,0,0,0,0,0,1,0,0,0,368,208,1.4166666666666667,0.0915032679738562,-1
-902302212912353907,107,0,57,2,307,2,539,1,0,7,0,1,1,4,1,66,0,0,0,0,8,0,1,0,0,0,1019,209,0.5695732838589982,0.18566775244299674,-31
-715372709422001120,301,0,49,1,319,1,381,1,0,0,0,26,32,4,0,226,0,0,0,0,4,0,0,5,0,0,1057,216,0.8372703412073491,0.1536050156739812,3
-706509246924800073,130,0,17,0,101,0,439,1,0,1,0,0,0,3,0,122,0,0,0,0,1,0,1,0,0,0,691,218,0.23006833712984054,0.16831683168316833,303
-652900301117566986,18,3,53,1,1580,0,1317,1,0,5,1,1,2,3,1,0,0,0,2,0,1,0,2,0,0,0,2976,222,1.199696279422931,0.03354430379746835,51
-520789415540135302,108,0,25,0,311,0,269,1,0,0,0,9,0,3,0,82,0,0,0,0,0,0,1,0,0,0,717,224,1.1561338289962826,0.08038585209003216,-172
-463404697273683255,130,0,19,0,173,0,461,1,0,3,0,1,0,3,0,111,0,0,0,0,2,0,1,0,0,0,787,225,0.3752711496746204,0.10982658959537572,180
-306103656484763942,11,0,16,0,147,0,302,1,0,0,0,2,1,4,0,0,0,0,0,0,1,0,3,0,0,0,481,229,0.4867549668874172,0.10884353741496598,0
-292108369637018448,56,0,35,2,337,2,369,1,0,3,0,6,1,3,0,36,0,0,0,0,0,0,0,0,0,0,805,230,0.9132791327913279,0.10385756676557864,67
-263501977567835355,5,0,13,2,377,2,347,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,750,231,1.0864553314121037,0.034482758620689655,-297
-216042227138601657,35,0,16,0,137,0,360,1,0,0,0,2,0,4,0,33,0,0,0,0,0,0,0,0,0,0,553,232,0.38055555555555554,0.11678832116788321,-75
-36497008654095384,79,0,34,0,149,0,336,1,0,10,0,14,10,6,0,29,0,0,0,0,0,0,3,0,0,0,605,235,0.44345238095238093,0.22818791946308725,89
-5229453852965352,7,0,8,3,99,3,56,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,180,236,1.7678571428571428,0.08080808080808081,-359
91139834327738618,31,0,2,0,1,0,8,1,0,2,0,1,0,3,1,24,0,0,1,0,0,0,0,0,0,0,46,240,0.125,2.0,-50
192460101532095111,2,0,2,0,9,0,282,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,300,242,0.031914893617021274,0.2222222222222222,-42
206192548635190383,5,0,10,0,107,0,436,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,563,243,0.24541284403669725,0.09345794392523364,2
316006156207188715,161,0,13,0,57,0,264,1,1,0,0,2,9,4,0,145,0,0,0,0,2,0,0,0,0,0,501,247,0.2159090909090909,0.22807017543859648,-34
365224865637950024,149,0,0,0,224,0,150,1,0,0,0,1,36,3,0,0,0,0,0,0,0,2,0,0,0,0,527,248,1.4933333333333334,0.0,-81
372321100548815409,9,0,33,0,256,0,575,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,877,249,0.44521739130434784,0.12890625,-368
389407828954457728,226,0,10,0,243,0,407,1,0,1,0,7,2,4,1,204,0,0,0,0,0,0,0,0,0,0,891,250,0.597051597051597,0.0411522633744856,-164
436244295715698241,4,0,8,0,828,0,1146,1,0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,2,1,0,1993,252,0.7225130890052356,0.00966183574879227,202
446774864054782689,17,0,54,0,443,0,628,1,0,0,0,0,0,4,1,8,0,0,0,0,0,0,4,0,0,0,1147,253,0.7054140127388535,0.12189616252821671,-16
583045948511089926,7,0,25,0,303,0,505,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,844,256,0.6,0.08250825082508251,-295
696538663690062826,12,0,8,1,129,2,185,1,1,0,0,2,1,4,4,0,0,0,0,0,1,0,0,0,0,0,343,258,0.6972972972972973,0.06201550387596899,61
756217681173798836,39,0,4,0,73,0,178,1,0,0,0,22,1,5,0,0,0,0,0,0,0,0,0,0,0,0,300,260,0.4101123595505618,0.0547945205479452,-16
812640005982389678,84,0,14,0,205,0,625,1,0,3,0,13,2,5,8,41,0,0,0,0,1,0,0,0,0,0,934,262,0.328,0.06829268292682927,-1
812997385876845119,153,0,7,0,199,0,333,1,0,0,0,0,1,3,0,149,1,0,0,0,1,0,0,2,0,0,697,263,0.5975975975975976,0.035175879396984924,15
822794039590682507,11,0,34,0,264,0,364,1,0,5,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,677,264,0.7252747252747253,0.12878787878787878,0
861005005666467285,8,0,18,0,156,0,358,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,544,265,0.43575418994413406,0.11538461538461539,-139
1010171044159308784,13,0,0,0,0,0,5,0,0,0,0,3,1,2,2,0,0,1,0,0,0,0,1,0,0,1,22,270,0.0,,-73
1033145951262685292,74,0,34,4,561,3,307,1,0,3,0,18,23,3,0,0,0,0,0,0,0,0,4,0,0,0,987,271,1.8273615635179152,0.06060606060606061,-1
1102561819676702524,7,1,55,0,257,0,355,1,0,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,679,272,0.723943661971831,0.2140077821011673,-81
1121624023394329487,6,0,6,0,176,1,264,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,457,274,0.6666666666666666,0.03409090909090909,346
1124591947672789577,139,0,39,7,459,6,324,1,0,0,0,1,0,4,2,133,0,0,0,0,0,0,0,0,0,0,979,275,1.4166666666666667,0.08496732026143791,-4
1203130414392645446,7,0,8,0,285,0,584,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,1,888,277,0.488013698630137,0.028070175438596492,-1597
1234985264049484870,13,0,12,1,50,1,535,1,0,2,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,617,278,0.09345794392523364,0.24,-372
1252999370157284458,11,0,6,1,24,1,702,1,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,749,280,0.03418803418803419,0.25,-3
1335289152677493887,26,0,29,0,260,0,824,1,0,1,0,2,1,4,9,6,0,0,0,0,2,0,0,0,0,0,1144,281,0.3155339805825243,0.11153846153846154,37
1476937314701533490,70,0,8,0,126,0,273,1,0,4,0,1,33,3,0,0,0,0,3,0,1,0,1,0,0,0,481,284,0.46153846153846156,0.06349206349206349,-14
