CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,Avg_Engagement_per_visit
-9006797857254270000,353653,1267,0,0,4,0,49,0,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175,STNL to BP,,0,0,0,1,0.4049586776859504,0.08163265306122448,0.0
-9005009734103900000,173827,656,2,0,0,0,4,0,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,STNL to BP,,0,0,0,1,0.05,0.0,0.0
-9004068625058590000,145548,567,0,0,0,0,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,,0,0,0,1,0.058823529411764705,0.0,0.0
-9003536029818040000,129341,466,0,0,0,0,4,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,STNL to BP,,0,0,0,1,0.06779661016949153,0.0,0.0
-9003132007422260000,113129,403,0,0,2,0,6,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,STNL to BP,,0,0,0,1,0.125,0.3333333333333333,0.0
-9002614310016050000,274827,1000,0,0,1,0,45,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,STNL to BP,,0,0,0,1,0.5,0.022222222222222223,0.0
-9002218071452600000,28277,95,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STNL to BP,,0,0,0,1,0.2727272727272727,0.0,0.0
-9002204584519390000,8067,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STNL to BP,,0,0,0,1,,,0.0
-8996271829069540000,105190,386,48,0,1,0,1,0,2,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,52,STNL to BP,,0,0,0,1,0.5,1.0,inf
-8992265473913400000,4032,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,,0,0,0,1,,,0.0
