CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-255907151874046000,456729,1597,11,0,4,0,108,0,103,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,226,STNL to BP,122.0,1,0,0,1.0485436893203883,0.037037037037037035
-211759868792619000,232099,891,6,0,0,0,76,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115,STNL to BP,0.0,0,0,1,2.303030303030303,0.0
-178040560375735000,129141,501,3,0,0,0,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,64,BP to STH,176.0,1,0,0,0.08928571428571429,0.0
-74112019732765900,14127,65,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,STNL to BP,0.0,0,0,1,,
-44117088159091100,102923,475,5,0,0,0,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,STNL to BP,0.0,0,0,1,0.4838709677419355,0.0
-6852295649982010,56488,196,1,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,STNL to BP,0.0,0,0,1,0.5,0.0
95523285404227374,129108,471,1,0,0,0,45,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,STNL to BP,0.0,0,0,1,2.5,0.0
193578500584297030,408539,1551,92,0,6,2,18,0,82,0,0,2,0,7,1,0,74,0,0,0,0,4,0,1,0,202,STNL to BP,219.0,0,1,0,0.21951219512195122,0.3333333333333333
204167928895183190,143465,453,1,0,0,0,32,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,STNL to BP,0.0,0,0,1,0.8421052631578947,0.0
235553737516095201,78712,323,8,0,0,0,5,0,25,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,39,STNL to BP,46.0,1,0,0,0.2,0.0
