CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-3726703148680101841,12,0,2,0,44,0,94,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,153,135,0.46808510638297873,0.045454545454545456,68
-3709517034804563781,537,1,14,8,143,8,154,0,0,4,1,0,6,1,0,486,0,0,0,0,0,2,0,0,3,0,0,0,867,136,0.9285714285714286,0.0979020979020979,40
-3686380349691304905,284,0,5,0,35,0,69,0,0,1,0,0,15,1,0,263,0,0,0,0,0,1,0,0,2,0,0,0,395,137,0.5072463768115942,0.14285714285714285,58
-3667187634197863206,33,0,4,0,23,0,64,0,0,1,0,0,0,1,0,22,0,0,0,0,0,1,0,1,1,0,0,0,126,138,0.359375,0.17391304347826086,0
-3654919271345243651,314,0,10,2,31,1,222,0,0,1,0,1,35,1,1,272,0,1,0,0,0,2,0,0,1,0,0,0,583,139,0.13963963963963963,0.3225806451612903,22
-3644588186450830372,191,0,0,0,0,2,1,1,0,0,0,3,28,2,0,113,0,0,0,0,0,5,0,0,7,0,0,0,197,140,0.0,,-86
-3644005315631254155,35,0,5,1,5,1,40,0,0,1,0,0,3,0,0,24,0,0,0,0,0,1,0,0,4,0,0,0,88,141,0.125,1.0,40
-3599653692081963666,262,0,11,0,172,0,169,0,0,2,0,0,6,1,0,233,0,0,0,0,0,2,0,0,6,0,0,0,616,142,1.017751479289941,0.06395348837209303,-52
-3599396249974101779,102,0,3,0,2,1,152,0,0,1,0,0,1,1,0,80,0,0,1,0,0,2,0,0,6,0,0,0,262,143,0.013157894736842105,1.5,14
-3549586006726838856,32,0,0,0,0,0,8,0,0,1,0,0,10,4,0,17,0,0,0,0,0,1,0,0,1,0,0,0,45,144,0.0,,170
-3535888076561219194,112,0,21,3,226,2,159,0,0,1,0,0,28,0,0,80,0,1,0,0,0,2,0,0,2,0,0,0,525,145,1.421383647798742,0.09292035398230089,-98
-3515938717308036014,411,0,10,0,45,0,50,0,0,2,0,0,3,1,0,390,0,0,0,0,0,1,0,0,2,1,5,4,528,146,0.9,0.2222222222222222,24
-3449793347955270583,283,0,9,11,33,9,115,0,0,2,0,1,11,1,0,254,0,0,0,0,0,2,0,1,1,0,0,1,464,147,0.28695652173913044,0.2727272727272727,-128
-3447322943989718034,28,0,1,0,2,0,80,0,0,1,0,0,10,1,0,14,0,0,0,0,0,1,0,0,3,0,0,0,113,148,0.025,0.5,0
-3397129148885823876,341,2,8,1,7,1,66,0,0,0,1,0,3,0,0,312,0,0,0,0,0,1,0,0,4,0,0,0,426,149,0.10606060606060606,1.1428571428571428,-31
-3382757376026760148,599,0,25,0,20,0,160,0,0,2,0,1,7,3,0,561,0,0,1,0,0,2,0,0,11,0,1,1,810,150,0.125,1.25,-32
-3359997052903434556,440,3,29,9,147,5,149,0,0,1,0,1,6,2,0,413,0,0,0,1,0,2,0,0,0,0,2,1,788,151,0.9865771812080537,0.19727891156462585,81
-3233307686976104578,291,0,6,0,9,1,57,0,0,1,0,0,5,1,0,279,0,0,0,0,0,1,0,0,1,0,0,0,366,152,0.15789473684210525,0.6666666666666666,142
-3215561428289952421,1314,0,30,3,17,4,306,0,0,5,0,1,13,3,0,1265,0,0,0,0,2,2,0,0,0,0,0,0,1677,153,0.05555555555555555,1.7647058823529411,-101
-3166205630034220835,453,0,1,0,79,4,813,0,0,0,0,0,52,1,0,30,0,1,0,0,1,5,6,6,6,0,0,1,1353,154,0.0971709717097171,0.012658227848101266,7
-3138572035927920423,1080,0,36,4,495,4,1144,0,0,3,0,0,40,3,0,961,0,1,0,0,0,8,0,0,11,0,0,0,2768,155,0.4326923076923077,0.07272727272727272,19
-3082203482580036439,230,0,39,4,220,4,166,0,0,1,0,0,1,2,1,196,0,0,0,0,0,2,0,0,4,0,0,0,666,156,1.3253012048192772,0.17727272727272728,77
