CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase_x,AVG_TIME_DAYS_purchase_y
8774963327131935523,4154672,15985,296,0,49,0,893,0,816,0,0,1,0,1,8,2,0,248,0,0,1,0,0,6,1,21,0,0,0,2056,263,1.0943627450980393,0.054871220604703244,72,72
8846889782644157499,1058623,4256,2,0,30,0,334,0,157,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,524,265,2.127388535031847,0.08982035928143713,271,271
8892523608735606576,505577,1873,17,0,12,0,17,0,203,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,250,266,0.08374384236453201,0.7058823529411765,32,32
8951180715448682067,1102287,4276,21,0,18,0,169,0,337,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,546,267,0.5014836795252225,0.10650887573964497,216,216
8970491429265889380,1776072,7243,456,0,7,0,170,0,239,0,0,3,0,0,7,2,1,420,0,0,0,0,1,3,0,0,0,2,1,878,268,0.7112970711297071,0.041176470588235294,170,170
8995958061127070191,2800589,11122,433,1,105,3,310,3,527,0,1,4,1,1,4,2,0,378,0,0,2,0,2,3,0,6,0,0,0,1385,269,0.5882352941176471,0.3387096774193548,71,71
9015885982256305696,2394628,7926,51,0,43,0,706,0,383,0,0,2,0,0,3,1,0,0,0,0,0,0,1,6,0,34,0,0,0,1185,270,1.843342036553525,0.060906515580736544,54,54
9096217893847541876,4817638,19332,1264,0,27,0,321,0,768,0,0,1,0,0,23,3,0,1148,0,0,0,0,1,6,0,4,0,0,0,2383,271,0.41796875,0.08411214953271028,225,225
9103828647213194627,488298,1803,13,0,0,0,86,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,242,272,0.6013986013986014,0.0,352,352
9104837920567636064,687743,2873,255,1,6,0,14,0,62,0,0,1,0,0,5,2,0,218,0,0,2,0,0,3,0,1,0,0,0,340,273,0.22580645161290322,0.42857142857142855,139,139
9153609583084292144,1733478,6608,570,0,44,4,25,4,206,0,0,4,0,0,9,1,0,504,0,0,0,0,1,3,0,0,0,0,0,857,274,0.12135922330097088,1.76,227,227
9175740394355393716,2651826,9484,476,0,13,0,311,0,508,0,0,2,0,0,12,2,0,448,0,0,0,0,1,3,1,1,0,0,0,1311,275,0.6122047244094488,0.04180064308681672,136,136
9176485298530453890,2605622,8986,8,0,21,0,880,0,380,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,1290,276,2.3157894736842106,0.023863636363636365,278,278
9217945570544551573,477279,1628,22,0,17,1,35,1,159,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,6,0,0,0,236,277,0.22012578616352202,0.4857142857142857,46,46
