primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,2,0,0,1,0,0.08403361344537816,0.6,677
0,0,1,2,0,0,18,0,0.2631578947368421,0.22,378
1,0,1,2,0,1,17,0,0.32,0.36363636363636365,1007
0,0,0,2,0,0,4,0,0.028089887640449437,1.6,324
0,0,0,2,0,0,0,1,1.7919075144508672,0.08709677419354839,817
0,0,0,1,0,0,10,0,0.5151515151515151,0.11764705882352941,140
0,1,0,1,0,1,2,1,1.4715447154471544,0.06629834254143646,401
0,1,0,1,0,0,0,0,0.15714285714285714,1.1818181818181819,327
0,0,0,2,0,0,21,0,0.19875776397515527,0.9375,1273
0,0,0,10,0,0,41,1,0.20348837209302326,0.8,614
1,0,0,1,0,0,8,2,1.3626373626373627,0.008064516129032258,622
0,0,1,2,0,0,0,0,0.1977401129943503,0.14285714285714285,451
0,0,0,2,0,0,0,0,0.43958868894601544,0.1695906432748538,1098
0,0,0,2,0,0,1,2,0.04819277108433735,1.375,488
0,0,0,1,0,0,4,0,0.7075471698113207,0.10666666666666667,477
0,0,0,1,0,0,3,0,1.1538461538461537,0.05,346
0,0,1,2,0,0,0,2,0.11570247933884298,1.3571428571428572,1096
0,0,1,1,0,0,0,0,0.0,,80
0,0,0,1,0,0,9,0,0.18,0.3333333333333333,339
0,0,0,1,0,0,0,0,0.5064935064935064,0.3333333333333333,182
1,0,0,2,0,0,9,1,1.7579617834394905,0.043478260869565216,914
0,0,0,1,0,0,0,0,0.1875,1.1111111111111112,85
0,0,0,2,0,1,8,0,1.5535714285714286,0.1839080459770115,850
0,0,0,1,0,0,0,0,1.3571428571428572,0.10526315789473684,161
0,0,0,1,0,0,0,1,0.24242424242424243,0.1875,189
0,0,0,1,0,0,0,0,0.5555555555555556,0.225,218
0,0,0,1,0,0,9,0,0.04081632653061224,1.0,63
0,0,0,2,0,1,1,0,0.075,1.0833333333333333,732
0,0,1,2,0,0,1,0,0.09142857142857143,0.375,511
